,SPILL_ID,START_DATE,LAT,LON,COUNTY,SPILL_CAUSE,SPILL CAUSE EXPLAIN,SSO Storm Associated,4-Day Rain,SPILL TYPE,SPILL VOL,SPILL VOL REACH LAND,SPILL VOL RECOVER,SPILL VOL REACH SURF,DIAMETER OF SEWER,MATERIAL SEWER_PIPE,AGE,sm_surface,sm_rootzone,sm_profile,soil_water_infiltration_flux,vegetation_greenness_fraction,surface_temp,surface_pressure
209,814834,2015-04-27 08:30:00,37.96378351,-122.5325821,Marin,Debris-Rags, ,No,10.6183,Category 3,1,1,1,0, , , ,0.251356602,0.279693931,0.284453958,0.0,0.952875733,283.45040889999996,100647.2422
1113,814843,2015-04-28 07:13:00,38.5326,-121.50431999999999,Sacramento,Debris-Rags, ,No,12.7668,Category 3,48,48,48,0, , , ,0.22726194600000002,0.29886043100000004,0.297864914,0.0,0.9062307479999999,288.9360962,101196.9375
681,815028,2015-04-28 12:30:00,37.48834,-122.26383999999999,San Mateo,Root Intrusion, ,No,10.2014,Category 3,120,120,120,0, , , ,0.202569246,0.26183670800000003,0.25217992100000003,2.2e-07,0.942115843,283.0645142,100385.0313
496,815059,2015-04-08 10:30:00,38.31086,-122.32807,Napa,Debris-General, ,No,17.2974,Category 3,1,1,1,0,6,Plastic,27,0.29437622399999996,0.285430908,0.280854255,6.13e-06,0.957892478,278.7800903,100294.9063
614,815060,2015-04-09 12:45:00,38.321,-122.29466000000001,Napa,Debris-Rags, ,No,15.9584,Category 3,5,5,5,0,4,Plastic,24,0.277028531,0.281592131,0.280427456,1.29e-13,0.952955067,278.2366028,99769.08594
1658,815293,2015-05-14 18:00:00,38.36967,-120.95318,Amador,Other (specify below),Power outage and back up generator failure,Yes,2.0528,Category 2,3000,3000,3000,0, , , ,0.126900077,0.21075733,0.20679014899999998,6.54e-05,0.927096963,291.2059021,98572.89063
1485,815386,2015-04-08 12:43:00,38.74149,-121.28648999999999,Placer,Root Intrusion, ,No,19.7755,Category 3,5,5,5,0, , , ,0.21873562,0.2012503,0.217414141,2.65e-09,0.940064132,278.70373539999997,101198.1094
1420,815490,2015-04-08 16:00:00,38.64823611,-121.32385829999998,Sacramento,Root intrusion, ,No,19.6264,Category 3,3,3,1,0, , , ,0.21951516,0.203441337,0.220012397,4.9699999999999995e-08,0.936151803,284.0999451,101592.0547
1579,815491,2015-04-09 18:00:00,38.67762222,-121.22545559999999,Sacramento,Debris-General, ,No,18.0819,Category 3,15,12,15,0, , , ,0.240980655,0.253179312,0.26445815,1.36e-21,0.939026892,292.916687,100647.9375
1534,815493,2015-04-10 11:00:00,38.66521944,-121.25373059999998,Sacramento,Root intrusion, ,No,18.1876,Category 3,2,2,1,0, , , ,0.233679757,0.251823127,0.263790458,3.98e-21,0.9380199909999999,280.3254395,100429.2813
1321,815494,2015-04-10 06:00:00,38.61594444,-121.36661940000002,Sacramento,Root intrusion, ,No,18.5052,Category 3,1,1,0,0, , , ,0.17718218300000002,0.198844761,0.21808348600000002,4.7e-22,0.9336315390000001,282.51226810000003,100839.1953
1184,815538,2015-04-25 15:00:00,38.49708056,-121.42483059999999,Sacramento,Root intrusion, ,No,13.6685,Category 3,10,10,10,0, , , ,0.25862762300000003,0.242952168,0.24697879,5.51e-07,0.906756103,289.67227169999995,101039.1875
1566,815539,2015-04-26 11:30:00,38.69433889,-121.2312389,Sacramento,Root intrusion, ,No,20.0062,Category 3,4,4,2,0, , , ,0.20192055399999997,0.18391321600000002,0.20313200399999998,3.4500000000000004e-12,0.930182993,282.35849,100429.2188
1276,815541,2015-04-27 10:15:00,38.41946944,-121.3766278,Sacramento,Debris-Rags, ,No,12.7007,Category 3,38,3,38,0, , , ,0.19891762699999999,0.235402986,0.24454636899999999,2.21e-31,0.905510664,285.6282349,101287.2344
1340,815544,2015-04-27 21:40:00,38.65705278,-121.36355559999998,Sacramento,Root intrusion, ,No,16.6346,Category 3,15,15,15,0, , , ,0.167965561,0.19217497100000003,0.209531784,0.0,0.917954803,303.602417,100685.8359
1766,815923,2015-06-17 12:10:00,35.15149,-119.44928999999999,Kern,Other (specify below),Dirt and cloth material was removed from line to clear blockage,Yes,0.0,Category 3,60,60,0,0,8,PVC, ,0.063000679,0.11408936199999999,0.116565019,2.0699999999999998e-35,0.934729099,292.663269,95500.23438
1036,816298,2015-06-08 00:00:00,37.328759999999996,-121.79696000000001,Santa Clara,Pipe Structural Problem/Failure,Sanitary Line crosses 21  Storm line. Sanitary line broke discharging sewage due to high pressure into the storm line at the pipe joints.,No,0.0,Category 1,11042,0,263,10779,6,VCP, ,0.09834065300000001,0.203076184,0.198333696,2.3800000000000002e-23,0.9082548020000001,302.99438480000003,96585.47656
1767,816310,2015-06-17 12:10:00,35.15149,-119.44928999999999,Kern,Debris-Rags, ,Yes,0.0,Category 3,60,60,0,0, , , ,0.063000679,0.11408936199999999,0.116565019,2.0699999999999998e-35,0.934729099,292.663269,95500.23438
1926,816724,2015-07-20 00:00:00,34.41125,-117.29888000000001,San Bernardino,Other (specify below),After heavy thunderstorms we found that two of the property owners cleanouts were uncapped causing mud and water to flow into our main.,Yes,22.7105,Category 1,6900,0,0,6900,8,PVC,29,0.151639894,0.092041217,0.09263949099999999,0.000663996,0.9157749409999999,295.61294560000005,89448.92188
1917,816745,2015-07-19 20:00:00,33.97291,-117.44658000000001,Riverside,Pump Station Failure-Power, ,Yes,18.4308,Category 3,80,0,80,0,8,VCP,43,0.11941675800000001,0.13291177199999998,0.13544662300000002,7.74e-06,0.9206597809999999,308.91430660000003,95949.60938
1748,816754,2015-07-21 06:00:00,37.67565,-119.77843999999999,Mariposa,Damage by Others Not Related to CS Construction/Maintenance (Specify Below),Flash flood caused debris to collect around manhole #49. Cal Trans equipment operator hit manhole cover dislodging it. Mud rocks filled the manhole and plugged the collection line.,Yes,9.4445,Category 3,400,400,0,0,8, , ,0.111706674,0.092541292,0.10114955199999999,4.43e-06,0.965325177,288.824585,84502.19531
1936,817109,2015-07-22 05:00:00,33.90198,-117.26324,Riverside,Surcharged Pipe (Combined CS Only), ,Yes,27.2313,Category 3,800,800,800,0,8,VCP,70,0.12928313,0.142866656,0.13880710300000002,6.74e-10,0.920884371,294.1289368,94973.89844
30,817767,2015-08-31 12:30:00,40.592064,-124.149275,Humboldt,Debris-General, ,No,10.744000000000002,Category 1,910,10,0,900,10,AC,30,0.177641138,0.22101964100000002,0.214703798,0.0,0.9864886999999999,285.0137329,98206.85156
1888,818089,2015-09-15 07:15:00,34.09005,-117.89241000000001,Los Angeles,Debris-Rags, ,Yes,13.1,Category 1,100,0,0,100,8,rags and debris, ,0.101287611,0.14763549,0.145616874,0.00015419700000000001,0.9493349790000001,292.1470642,94865.21094
1935,818094,2015-09-16 00:00:00,32.81228,-117.26423999999999,San Diego,Root Intrusion, ,No,13.3764,Category 3,30,30,0,0,6, , ,0.231749222,0.190151393,0.18881239,0.000137448,0.9369654059999999,296.36102289999997,100383.5
1871,818096,2015-09-15 06:30:00,34.095834,-118.08781299999998,Los Angeles,Other (specify below),Temporary wall collapsed in Rubio Wash breaking a County sewer line.,Yes,9.7827,Category 1,8500,0,0,8500, , , ,0.12033058,0.141104728,0.13884197199999998,0.000310063,0.9373720879999999,292.9505005,95785.21094
1853,818112,2015-09-15 11:00:00,34.21069164,-118.18167150000001,Los Angeles,Other (specify below),Unknown,No,25.8338,Category 1,11500,0,200,11300, , , ,0.2086308,0.156941041,0.147472709,0.000546932,0.934850395,291.2805786,93625.57813
1872,818118,2015-09-15 06:35:00,34.095494,-118.08770600000001,Los Angeles,Other (specify below),"The Alameda Corridor East Construction Authority (ACE Authority) is improving the rail corridor in the vicinity of the Sanitation Districts JO  A  Unit 1A San Jose Creek WRP Interceptor Trunk Sewer.  The ACE Authority is lowering the elevation of the existing railroad tracks to eliminate at-grade rail crossings with adjacent roadways to improve safety and speed the movement of trains.  As part of their work, they have to relocate a portion of the Sanitation Districts? JO  A  Unit 1A San Jose Creek WRP Interceptor Trunk Sewer between manholes (MHs) A382 to A381.  This section of sewer consists of a 24-inch reinforced concrete pipe siphon under a concrete lined drainage channel known as the Rubio Wash.      In order to lower the railroad tracks that cross perpendicularly across the Rubio Wash, the ACE Authority also has to lower the entire drainage channel.  As such, the Sanitation Districts? sewer that is located under the drainage channel needs to be relocated.  In its final configuration, the Sanitation Districts? sewer will bridge over the drainage channel rather than going under it.  All work to modify the drainage channel and relocate the Sanitation Districts? sewer is being carried out by the ACE Authority.    The ACE Authority is currently in the midst of construction, including excavating portions of the concrete lined drainage channel and exposing the Sanitation Districts? sewer.  To allow surface water flows to continue to be conveyed through the construction site, the construction contractor installed a temporary flow conveyance system, consisting of an earthen dam and piping to convey drainage flows through the excavation area to where the concrete lined channel is still intact.      On Sept. 15, 2015, runoff from an overnight storm overwhelmed the temporary flow conveyance system, overtopping the earthen dam.  The uncontrolled storm flow then entered and undermined the construction area.  Amongst other damage, the storm flow washed out the exposed Sanitation Districts? sewer between MHs A382 to A381, allowing sewage to leave the pipe and enter the Rubio Wash.  Based on eyewitness reports, the sewer was washed out at approximately 6:35 am.",Yes,9.7809,Category 1,440000,0,0,440000,24,RCP,432,0.12033058,0.141104728,0.13884197199999998,0.000310063,0.9373720879999999,292.9505005,95785.21094
1923,818130,2015-09-15 09:15:00,34.055556,-117.32722199999999,San Bernardino,"Rainfall Exceeded Design, I and I (Separate CS Only)", ,Yes,,Category 3,500,500,0,0,16,VCP,40,0.071942568,0.094746217,0.095623352,3.81e-05,0.9285027379999999,290.1731567,92073.57813
1882,818144,2015-09-18 10:30:00,33.848749,-117.979272,Orange,Debris-Rags,Paper towels combined with grease.,No,24.607,Category 1,300,30,30,270,8,VCP,41,0.116142526,0.15000191300000001,0.152703181,0.0,0.9402548070000001,288.64376830000003,99408.49219
1958,818150,2015-09-17 00:00:00,32.682361,-117.17013899999999,San Diego,Root Intrusion, ,No,13.5832,Category 1,90,10,35,65,4,vcp, ,0.17456172399999997,0.203377694,0.20243898,7e-11,0.938203275,296.7658997,100637.9063
1897,818161,2015-09-19 00:00:00,33.55234,-117.80113999999999,Orange,Root Intrusion,Tree roots in this section of pipe.,No,25.6181,Category 3,150,150,150,0,8,clay, ,0.16056753699999998,0.212340415,0.21488320800000002,0.0,0.945853293,296.9131775,99390.05469
1931,818196,2015-09-18 00:00:00,34.533159999999995,-117.28128000000001,San Bernardino,Pump Station Failure-Mechanical, ,No,11.9144,Category 1,2145,0,0,2145, , , ,0.082325578,0.10923326,0.10989995300000001,0.0,0.92009902,296.7348022,89419.71875
1913,818210,2015-09-19 00:00:00,33.634722,-117.568056,Orange,Pipe Structural Problem/Failure, ,No,21.7021,Category 2,12000,12000,12000,0,8,ductile iron,25,0.142073885,0.200621665,0.197244048,0.0,0.933402121,297.8018494,96718.05469
1833,818226,2015-09-18 15:45:00,34.1842,-118.28668,Los Angeles,Pipe Structural Problem/Failure,"Post stoppage CCTV inspection revealed what appeared to be a loose piece of liner material just downstream of the manhole which overflowed. Mabhole entry by Wastewater Section personnel revealed a liner that had either shrunk in the downstream direction or had slipped in the downstream direction, in either case creating a significant debris trap not only in the flow line but around the entire circumference of the pipe.",No,25.7134,Category 1,6992,6417,6417,575,8,VCP-Lined,88,0.13636505599999998,0.159382671,0.164165527,0.0,0.937660217,297.3988647,94764.85156
667,818279,2015-09-19 00:30:00,38.28293,-122.26861000000001,Napa,Root Intrusion, ,Yes,,Category 3,3,3,0,0,4,Clay,67,0.142073885,0.19256502399999997,0.19370400899999998,5.21e-34,0.9377966520000001,298.79794310000005,99782.05469
1791,818284,2015-09-18 20:30:00,34.41427142,-118.46686709999999,Los Angeles,Other (specify below),Rags and Grease,No,20.3574,Category 3,100,0,100,0, , , ,0.07108353099999999,0.06954442,0.07246530799999999,0.0,0.9386822579999999,305.49728389999996,93245.34375
1779,818930,2015-10-22 00:00:00,36.604503,-118.73419399999999,Tulare,Other (specify below),Loss of grid power and then failure of automatic backup generator startup,No,13.9371,Category 1,1000,0,0,1000,8,C900,2,0.15680249,0.203593582,0.200898573,0.0,0.926181316,281.26470950000004,78968.67188
1784,819005,2015-10-27 19:45:00,34.040096999999996,-118.518079,Los Angeles,Debris-General, ,Yes,0.0,Category 3,187,187,0,0,8,VCP,88,0.097850122,0.18190503100000002,0.180887386,5.69e-21,0.95115304,300.02825930000006,99866.71094
1608,819304,2015-10-31 13:36:00,38.692392,-121.185119,Sacramento,Grease Deposition (FOG), ,Yes,0.0383,Category 1,3000,2700,0,300,6, , ,0.051432688,0.10618740300000001,0.114449106,0.0,0.912189007,286.73724369999996,100453.2031
932,819312,2015-11-03 13:24:00,38.257369,-122.036425,Solano,Debris-Rags, ,No,15.2235,Category 3,123,123,123,0, , , ,0.21517898100000002,0.232333288,0.22586730100000002,2.7999999999999998e-12,0.929304183,281.092041,100205.2031
787,819326,2015-11-04 16:00:00,38.515405,-122.19133300000001,Napa,Other (specify below),Pump breaker tripped.,No,13.6885,Category 3,200,200,20,0,6,ACP,50,0.169065475,0.199697092,0.190292925,3.01e-14,0.935997188,283.96194460000004,98979.05469
71,819339,2015-11-05 09:20:00,39.042190000000005,-122.91958999999999,Lake,Debris from Lateral, ,No,13.2178,Category 3,3,3,3,0,4,ACP,70,0.178973541,0.218730137,0.21675823600000002,1.6800000000000002e-13,0.967314661,279.0088501,94592.57813
1509,819363,2015-11-05 13:26:00,37.9713,-121.27208999999999,San Joaquin,Root Intrusion, ,No,21.3204,Category 3,16,16,16,0, , , ,0.222816437,0.262831569,0.26276201,1.89e-18,0.907267332,279.2299805,101994.8281
359,819396,2015-11-09 07:15:00,37.61954,-122.4055,San Mateo,"Rainfall Exceeded Design, I and I (Separate CS Only)", ,Yes,0.1616,Category 3,2,1,2,0,6,Clay, ,0.13022624,0.180879071,0.17696939399999997,1.24e-06,0.959851563,282.77236939999995,100874.6406
1619,819398,2015-11-10 12:30:00,38.698056,-121.159722,Sacramento,Other (specify below),Contractor hit line while trenching,No,15.6325,Category 3,50,50,45,0,6,Clay,40,0.234471574,0.19740437,0.190788254,4.39e-05,0.925052345,279.94586180000005,99436.25781
913,819405,2015-11-10 00:00:00,36.97055,-122.05757,Santa Cruz,Root Intrusion, ,No,13.9659,Category 1,50,0,0,50,8,vcp,40,0.24981983,0.267487586,0.261337221,5.5e-06,0.951374352,283.9794922,100173.8281
1669,819410,2015-11-04 00:00:00,35.394040000000004,-120.85555,San Luis Obispo,Root Intrusion, ,No,11.9162,Category 3,73,73,0,0,6,6, ,0.21305269,0.23871062699999998,0.23687496800000002,3.27e-10,0.9261752959999999,287.217926,99153.39063
720,819438,2015-11-07 10:30:00,37.84322,-122.23575,Alameda,Root Intrusion,8  VCP sanitary main sewer plugged due to root intrusion and overflowed out of a water meter box in the side walk gutter area. Staff contained all portions of the overflow. Staff rooded and flushed to main sewer to unplug stoppage and return the flow. Staff cleaned and returned all portions of the overflow back to the collection system. oStaff will CCTV the main sewer.,Yes,0.0,Category 3,100,100,100,0,8,VCP, ,0.11714698400000001,0.160445541,0.16393432,0.0,0.949184358,280.19036869999996,101151.6094
1119,819441,2015-11-10 09:33:00,38.488659999999996,-121.49225,Sacramento,Root Intrusion, ,No,10.7058,Category 3,5,5,5,0, , , ,0.26273679699999997,0.249009475,0.246090084,4.48e-05,0.898429692,280.3808899,101635.2031
54,819475,2015-11-10 13:30:00,39.44923,-123.79847,Mendocino,Debris-Rags, ,No,25.2676,Category 3,76,76,60,0,6,Clay,60,0.245885149,0.263932705,0.263664246,3.2299999999999997e-07,0.981204689,277.67193599999996,100692.2578
1921,819483,2015-11-16 00:00:00,33.248056,-117.331111,San Diego,Pump Station Failure-Power,"Power failure, back up generator fail, check valves failed",Yes,,Category 1,5750,0,5000,750,5,, ,0.12266770800000001,0.185560927,0.18949402899999998,1.24e-05,0.954395413,287.4266052,99042.04688
719,819539,2015-11-03 20:15:00,37.841190000000005,-122.23581000000001,Alameda,Root Intrusion,8inch sanitary sewer that consists of vitrified clay pipe became plugged and is located withing the front yard of a residence.  Root intrusion within main sewer caused blockage.,No,14.1233,Category 3,65,65,65,0,8,VCP, ,0.158058688,0.163917184,0.164559036,0.0,0.948125482,292.6106873,100321.4766
639,819602,2015-11-05 12:15:00,37.90271,-122.28367,Contra Costa,Root Intrusion, ,No,13.5246,Category 3,10,10,0,0, , , ,0.12104030699999999,0.157423854,0.159673646,0.0,0.948038816,280.73718260000004,101226.8281
1618,819637,2015-11-24 08:00:00,38.698333,-121.159722,Sacramento,Other (specify below),"contractor broke line previous day, found debri from earlier break",Yes,0.0,Category 3,120,120,80,0, , , ,0.159174979,0.193074733,0.201399207,0.0,0.9344575409999999,281.13992310000003,98847.45313
352,819663,2015-11-22 12:30:00,37.64196,-122.42468999999998,San Mateo,Grease Deposition (FOG),Grease in mainline,Yes,,Category 3,150,0,150,0,6,vcp, ,0.132102311,0.191661432,0.18686083,1.11e-30,0.960666597,282.766571,100935.5938
1682,819678,2015-11-26 00:00:00,38.365109999999994,-120.79737,Amador,Pump Station Failure-Power,Area power failure may have contributed to the pump station failure. Sensaphone did not call out.,No,10.6511,Category 1,15000,0,0,15000, , , ,0.209765017,0.20080535100000002,0.20742093,1.2e-06,0.9570766690000001,276.3933716,95778.625
578,819936,2015-11-05 15:30:00,37.97956,-122.31021000000001,Contra Costa,Root Intrusion, ,No,12.9754,Category 3,10,10,0,0,6,vcp,50,0.20615038300000002,0.245253429,0.246477246,0.0,0.953177035,284.0198059,101335.7656
1572,819971,2015-11-12 08:35:00,37.7927,-121.22973,San Joaquin,Root Intrusion, ,No,10.9228,Category 3,223,223,223,0,6,clay,50,0.14175038,0.112953901,0.122948319,1.04e-28,0.9142242070000001,278.4702148,102230.2109
1084,819976,2015-11-06 00:00:00,36.68869,-121.61726000000002,Monterey,Debris-General, ,No,26.0282,Category 3,50,0,50,0,6,60, ,0.18447178600000003,0.22576789600000002,0.220561087,8.240000000000001e-18,0.942712784,286.0007629,99573.07031
376,820037,2015-12-07 01:45:00,38.70169,-122.38855,Napa,Root Intrusion, ,No,30.9216,Category 3,50,50,50,0,6,VCP,50,0.22285977,0.23307356199999998,0.22842814,1.4999999999999999e-05,0.955805242,284.8631592,98333.6875
377,820038,2015-12-07 01:45:00,38.70169,-122.38855,Napa,Root Intrusion, ,No,30.9216,Category 3,50,50,50,0,6,VCP,50,0.22285977,0.23307356199999998,0.22842814,1.4999999999999999e-05,0.955805242,284.8631592,98333.6875
1083,820134,2015-12-10 00:00:00,37.096923,-121.618255,Santa Clara,Construction Diversion Failure,Parallel sewer trunk lines in area.  One trunk plugged to make repairs on siphon.  Flow overwhelmed secondary sewer trunk.,Yes,0.0,Category 1,12000,0,0,12000,30,SDR26,4,0.169685513,0.19858388600000002,0.206998095,2.1399999999999998e-10,0.945924878,286.8003845,97148.6875
1649,820154,2015-12-12 12:05:00,38.664528000000004,-121.00113300000001,El Dorado,Debris-Rags,Homeowner pushed blockage to Lower lateral clean out. Notified EID and discontinued water usage until blockage was cleared.,No,13.5264,Category 1,10,0,8,10, , , ,0.18423272699999999,0.18197301,0.19023574899999998,7.04e-10,0.951638639,276.8606873,98705.28906
327,820194,2015-12-12 09:45:00,37.87177,-122.46608,Marin,Debris-Rags, ,No,14.1116,Category 3,113,113,0,0, , , ,0.19381752600000002,0.220072448,0.213251472,1.1699999999999999e-07,0.960215151,280.170105,101034.8906
157,820198,2015-12-13 13:05:00,37.906334,-122.561123,Marin,Other (specify below),"Clay, Grease, Roots, and Grit/Gravel",No,29.8203,Category 3,100,100,100,0,6,Clay, ,0.20837926899999998,0.225146845,0.21842275600000002,0.000156999,0.961884022,284.9906006,100676.7891
704,820202,2015-12-13 11:00:00,40.176967,-122.24608300000001,Tehama,Root Intrusion, ,No,31.8525,Category 3,20,20,20,0, , , ,0.183764368,0.220427155,0.21526607899999997,8.05e-06,0.9558120370000001,281.6803589,98659.26563
896,820205,2015-12-15 11:30:00,37.35577,-122.07931,Santa Clara,Root Intrusion,Roots.,No,11.6102,Category 3,60,30,60,0,6,VCP,60,0.200554118,0.239859402,0.229261562,0.0,0.9543315170000001,275.5357361,99315.41406
366,820209,2015-12-13 10:00:00,37.625609999999995,-122.39443999999999,San Mateo,Other (specify below),Clean out plug failure,Yes,21.4532,Category 1,1700,0,0,1700,6,ABS,14,0.179247767,0.20638907,0.19958004399999998,2.1e-05,0.958985865,283.4816284,101035.2656
372,820211,2015-12-14 06:16:00,37.61007,-122.39079,San Mateo,Pipe Structural Problem/Failure, ,No,20.7194,Category 1,290,10,0,280,6,DIP,38,0.207074955,0.22206203600000002,0.21224702899999998,5.81e-10,0.9587651490000001,279.8247375,100917.7813
1038,820219,2015-12-15 13:30:00,38.683313,-121.79178700000001,Yolo,Pipe Structural Problem/Failure, ,No,10.7504,Category 3,3,3,3,0,4,Orangeburg, ,0.18441623399999998,0.235113725,0.230283767,5.57e-14,0.950149655,275.5116577,101431.6016
1057,820223,2015-12-14 08:45:00,38.666096,-121.77070800000001,Yolo,Debris-General, ,No,11.917,Category 3,8,8,8,0,4,Orangeburg,98,0.237836674,0.268998086,0.259366155,2.7099999999999996e-12,0.94753468,277.71914669999995,101045.7813
1035,820225,2015-12-14 17:00:00,37.37148,-121.80005,Santa Clara,Root Intrusion, ,No,15.7355,Category 1,950,0,100,850, , , ,0.23472110899999998,0.253971696,0.24448025199999998,0.0,0.950369835,277.1045837,97367.75781
153,820231,2015-12-16 00:00:00,37.905387,-122.562708,Marin,Root Intrusion, ,No,14.9973,Category 3,15,15,0,0,6,Clay, ,0.18434046199999998,0.236964032,0.229503378,0.0,0.9617427590000001,281.143158,101340.8125
219,820233,2015-12-15 00:00:00,37.914838,-122.523425,Marin,Root Intrusion, ,No,19.3636,Category 3,15,15,0,0,6,Clay, ,0.19776369600000002,0.23860628899999997,0.23031778600000002,0.0,0.9617500309999999,282.84689330000003,101169.0
832,820253,2015-12-15 22:00:00,38.056719,-122.14226399999998,Solano,Debris-Rags, ,No,14.0164,Category 3,52,52,52,0, , , ,0.196707785,0.24020056399999998,0.24254888300000002,0.0,0.9522526859999999,285.93218989999997,101275.6016
521,820267,2015-12-13 08:46:00,37.93652,-122.32228,Contra Costa,Root Intrusion,Grease build-up around roots,Yes,15.59,Category 3,5,5,5,0, , , ,0.242648974,0.269367665,0.270136058,3.05e-05,0.9573084709999999,283.4169006,101146.625
42,820273,2015-12-12 02:30:00,40.87762,-124.08016,Humboldt,Debris-General, ,Yes,78.7055,Category 3,290,290,15,0,6,AC,50,0.410454005,0.423277766,0.394975543,2.8800000000000002e-05,0.9820386170000001,281.16705319999994,99397.22656
855,820287,2015-12-14 17:10:00,37.425714,-122.123337,Santa Clara,Root Intrusion,Upon arrival was not overflowing. But when I removed cap. Fili and Talley,No,16.5362,Category 3,51,51,49,0, , , ,0.21842472300000002,0.24640335100000002,0.235324979,0.0,0.955252647,279.51669310000005,99823.75781
912,820316,2015-12-13 14:04:00,38.253475,-122.058544,Solano,Root Intrusion, ,No,23.2718,Category 3,15,15,15,0, , , ,0.244878292,0.256457895,0.252785534,0.000113785,0.947479725,283.6488037,100612.7891
930,820327,2015-12-21 00:00:00,36.97702,-122.03658,Santa Cruz,Debris-Rags, ,Yes,10.5882,Category 1,2000,0,0,2000,6,VCP,70,0.313408941,0.326081246,0.31507045,0.00017941,0.957939625,283.99938960000003,100821.3047
822,820329,2015-12-15 08:00:00,37.75447,-122.14893000000001,Alameda,Debris-General,8  vcp main sewer plugged due to debris obstruction.,No,12.9167,Category 3,240,240,0,0,8,vcp, ,0.24614732,0.27963087,0.28009855699999997,0.0,0.953874648,277.23468019999996,100641.8906
1514,820342,2015-12-17 09:45:00,38.739940000000004,-121.26725,Placer,Root Intrusion, ,No,11.5613,Category 3,59,59,59,0, , , ,0.131706983,0.144085288,0.158724666,6.02e-15,0.947567761,275.4992371,101104.8281
1737,820350,2015-12-22 12:15:00,37.63027,-120.35185,Mariposa,Root Intrusion,The spill cause was due to the storm event and the partial blockage of the sewer main.,Yes,85.2361,Category 3,960,960,0,0,6,AC,40,0.373633415,0.271597505,0.275062233,0.000608444,0.951884985,281.6317139,96750.90625
697,820353,2015-12-22 08:43:00,37.88573,-122.25238999999999,Alameda,Root Intrusion, ,No,45.8923,Category 3,180,180,180,0, , , ,0.303525329,0.22592884300000002,0.226807117,0.000250459,0.956515491,286.68038939999997,100130.4453
