SPILL_ID,START_DATE,LAT,LON,COUNTY,SPILL_CAUSE,SPILL CAUSE EXPLAIN,SSO Storm Associated,SPILL TYPE,SPILL VOL REACH LAND,SPILL VOL,SPILL VOL RECOVER,SPILL VOL REACH SURF,DIAMETER OF SEWER,MATERIAL SEWER_PIPE,AGE
815475,4/2/2015 9:10,38.59712778,-121.3610361,Sacramento,Operator error, ,No,Category 3,1,1,1,0, , , 
814437,4/2/2015 9:15,37.70542,-122.4088,San Mateo,Pipe Structural Problem/Failure, ,No,Category 3,30,30,0,0,5,PVC,24
815477,4/2/2015 10:00,38.48164444,-121.4337056,Sacramento,Root intrusion, ,No,Category 3,23,273,271,0, , , 
815476,4/2/2015 12:00,38.661975,-121.5266861,Sacramento,Debris-General, ,No,Category 3,1,1,0,0, , , 
814395,4/2/2015 14:30,38.02124,-121.31743,San Joaquin,Root Intrusion, ,No,Category 3,6,6,6,0, , , 
814400,4/2/2015 21:00,38.03107,-122.26363,Contra Costa,Root Intrusion, ,No,Category 3,747,747,0,0,6,VCP, 
815010,4/3/2015 10:00,33.859078,-118.052733,Los Angeles,Debris-General, ,No,Category 3,400,700,700,0,8,VCP,47
815478,4/3/2015 12:00,38.63291111,-121.2993528,Sacramento,Root intrusion, ,No,Category 3,1,1,0,0, , , 
815479,4/3/2015 16:00,38.61793056,-121.4069333,Sacramento,Root intrusion, ,No,Category 3,3,3,2,0, , , 
814715,4/3/2015 18:20,37.424795,-122.105682,Santa Clara,Debris-Rags,Addt'l Spill Cause: Root Intrusion,No,Category 3,5,5,4,0, , , 
815482,4/3/2015 22:00,38.67030556,-121.3435528,Sacramento,Root intrusion, ,No,Category 3,1,1,1,0, , , 
814419,4/4/2015 0:00,32.579948,-117.131714,San Diego,Pump Station Failure-Controls,Pump station 1B level control panel failed. Both air pumps in the level control panel did not work.,No,Category 2,0,6000,6000,0, , , 
814396,4/4/2015 0:00,32.76052,-117.04198,San Diego,Root Intrusion, ,No,Category 3,75,75,75,0, , , 
814449,4/4/2015 4:45,36.29885,-119.16053,Tulare,Pump Station Failure-Power, ,No,Category 1,0,20,0,20,8, ,25
814992,4/4/2015 10:36,33.956147,-118.137617,Los Angeles,Root Intrusion, ,No,Category 3,0,100,100,0, , , 
815480,4/4/2015 12:00,38.69046389,-121.2529389,Sacramento,Root intrusion, ,No,Category 3,6,56,53,0, , , 
815481,4/4/2015 13:00,38.61927222,-121.5049167,Sacramento,Root intrusion, ,No,Category 3,3,3,1,0, , , 
815483,4/4/2015 16:00,38.45351389,-121.4360611,Sacramento,Vandalism, ,No,Category 3,2,2,1,0, , , 
815484,4/4/2015 19:30,38.60705833,-121.3959361,Sacramento,Root intrusion, ,No,Category 3,2,2,2,0, , , 
814474,4/5/2015 9:45,33.76631559,-118.3711734,Los Angeles,Root Intrusion, ,No,Category 1,0,4000,700,3300, , , 
814394,4/5/2015 10:10,34.09253,-118.392103,Los Angeles,Root Intrusion, ,No,Category 3,149,149,141,0,8,Concrete,90
814560,4/5/2015 10:30,38.655822,-121.167058,Sacramento,Grease Deposition (FOG), ,No,Category 3,5,40,38,0,6, , 
814402,4/5/2015 12:10,33.86272,-118.15111,Los Angeles,Grease Deposition (FOG), ,No,Category 3,50,50,50,0,8,V.C.P.,50
814406,4/5/2015 13:50,39.149025,-123.209725,Mendocino,Debris-Rags, ,No,Category 3,0,30,30,0,6,Relined Clay,50
814399,4/5/2015 16:25,33.91685,-118.08547,Los Angeles,Grease Deposition (FOG), ,No,Category 1,0,900,450,900,10,VCP,50
814467,4/5/2015 16:45,39.517222,-121.528056,Butte,Debris-Rags, ,No,Category 3,10,10,10,0,6,clay, 
814438,4/6/2015 0:00,38.575039,-121.412392,Sacramento,Root Intrusion, ,No,Category 1,1,792,69,791, , , 
814476,4/6/2015 0:00,33.470103,-117.634939,Orange,Root Intrusion, ,No,Category 3,1,1,1,0, , , 
814477,4/6/2015 0:00,33.435134,-117.619122,Orange,Damage by Others Not Related to CS Construction/Maintenance (Specify Below),Contractor Eagle Paving hit clean-out and caused rocks & asphalt to fall into pipe causing a blockage,No,Category 3,41,41,41,0, , , 
814411,4/6/2015 3:00,34.68946,-118.2366,Los Angeles,Debris-Rags, ,No,Category 3,350,350,0,0, , , 
814722,4/6/2015 8:30,33.57124612,-117.2359574,Riverside,Damage by Others Not Related to CS Construction/Maintenance (Specify Below),Joint started leaking after excavation for a water line exposed the sewer main.,No,Category 3,15,15,15,0, , , 
815057,4/6/2015 8:45,38.30823,-122.28895,Napa,Debris-General, ,No,Category 3,1,1,1,0,4,ACP,38
814428,4/6/2015 9:25,37.597972,-122.393444,San Mateo,Root Intrusion, ,No,Category 3,40,40,40,0,4,VCP,70
814478,4/6/2015 9:30,37.92346,-121.2946,San Joaquin,Root Intrusion, ,No,Category 3,0,65,65,0,6,VCP, 
815485,4/6/2015 11:20,38.69179444,-121.2665278,Sacramento,Root intrusion, ,No,Category 3,38,38,38,0, , , 
815486,4/6/2015 12:00,38.67310278,-121.3748722,Sacramento,Root intrusion, ,No,Category 3,2,2,1,0, , , 
814716,4/6/2015 12:11,37.404,-122.127876,Santa Clara,Grease Deposition (FOG),Addt'l Spill Cause: Root Intrusion,No,Category 3,53,53,53,0, , , 
814412,4/6/2015 12:33,37.26321,-121.99199,Santa Clara,Other (specify below),San Jose Water has a sewer discharge permit with WVSD for discharges into the sewer.  Conditions of the permit require advanced notification to WVSD in order to determine system capacity.  Contractor working for SJ water Discharged flushing water  from a potable water pipeline project into sewer system without WVSD review or approval.,No,Category 1,0,1110,0,1110,10, , 
815487,4/6/2015 13:00,38.65988889,-121.2040861,Sacramento,Root intrusion, ,No,Category 3,5,5,5,0, , , 
814486,4/7/2015 0:00,37.1718,-122.22393,Santa Cruz,Root Intrusion,While conducting weekly maintenance on the collection system a root ball went past the wire screen that was to prevent this from happening and plugged up the man hole further down line.,No,Category 1,0,1000,0,1000,6,Iron,70
814717,4/7/2015 0:00,37.444618,-122.158891,Santa Clara,Debris-Rags, ,No,Category 3,14,14,11,0, , , 
814485,4/7/2015 0:00,38.592914,-121.400583,Sacramento,Grease Deposition (FOG), ,No,Category 1,15,4540,5,4525, , , 
814475,4/7/2015 0:00,38.670092,-121.278278,Sacramento,Grease Deposition (FOG), ,No,Category 1,4,96,4,92, , , 
814435,4/7/2015 0:00,34.857614,-120.43985,Santa Barbara,Grease Deposition (FOG),"Grease, construction debris, rags",No,Category 2,1500,1500,0,0,8,VCP, 
814577,4/7/2015 0:00,37.95519,-120.2459,Tuolumne,Pipe Structural Problem/Failure, ,No,Category 1,0,486,0,486,6,HDPE,7
814496,4/7/2015 0:00,33.0147,-117.05243,San Diego,Root Intrusion, ,No,Category 1,0,620,41,579,8,VCP,36
814433,4/7/2015 9:08,33.98188,-118.03235,Los Angeles,Root Intrusion, ,No,Category 1,0,980,344,636, , , 
815488,4/7/2015 11:35,38.63321111,-121.3737944,Sacramento,Operator error, ,No,Category 3,2,2,2,0, , , 
815489,4/7/2015 15:30,38.71629722,-121.4095583,Sacramento,Root intrusion, ,No,Category 3,2,2,1,0, , , 
814536,4/7/2015 16:45,37.467856,-122.256129,San Mateo,Grease Deposition (FOG), ,No,Category 3,25,25,375,0,8,VCP,75
814484,4/8/2015 0:00,32.585108,-117.1211,San Diego,Construction Diversion Failure, ,No,Category 3,0,10,10,0, , , 
814465,4/8/2015 7:45,34.28266,-119.26939,Ventura,Root Intrusion, ,No,Category 3,50,50,0,0, , , 
814479,4/8/2015 8:00,33.852936,-117.791464,Orange,Grease Deposition (FOG),FOG and disposable wipes,No,Category 2,16200,16200,15000,0,10,VCP,43
814489,4/8/2015 8:07,34.17578,-118.30062,Los Angeles,Non-Dispersables,Paper towels and wipes were found as the obstruction in the City sewer manhole.,No,Category 2,1734,1734,1734,0, , , 
814483,4/8/2015 13:00,39.81118,-120.49756,Plumas,Grease Deposition (FOG), ,No,Category 3,150,150,0,0,6,asbestos/concrete,65
814498,4/9/2015 11:00,34.048156,-118.414878,Los Angeles,Root Intrusion, ,No,Category 2,2800,2800,2800,0,8,Concrete,88
815492,4/9/2015 12:00,38.71261111,-121.2960528,Sacramento,Operator error, ,No,Category 3,2,2,2,0, , , 
814599,4/10/2015 3:30,34.148844,-118.754584,Los Angeles,Other (specify below),Scale build up,No,Category 1,1000,43200,1000,42200, , , 
814583,4/10/2015 20:50,37.66192,-121.85713,Alameda,Grease Deposition (FOG), ,No,Category 1,0,1500,100,1400,8,VCP,48
814519,4/11/2015 7:00,34.09356,-118.40363,Los Angeles,Non-Dispersables, ,No,Category 1,0,286,0,286, , , 
814541,4/11/2015 8:15,36.713961,-119.414011,Fresno,Debris-General, ,No,Category 2,6732,6732,0,0,15,PVC,25
814528,4/11/2015 9:15,37.960019,-122.329133,Contra Costa,Other (specify below),"We determined that the drain rock and t-shirt that had collected to cause the overflow had entered the sewer line on March 12, 2015 when a contractor worked on the lateral serving 5531 Morrow Dr., approximately 800 feet upstream from the blockage.",No,Category 1,0,1200,1000,200,6,VCP, 
815505,4/11/2015 11:00,38.46283333,-121.3923139,Sacramento,Root intrusion, ,No,Category 3,8,108,105,0, , , 
814552,4/11/2015 14:00,36.68915,-119.5349,Fresno,Debris-General, ,No,Category 2,70000,70000,0,0,24,Concrete,25
814578,4/11/2015 14:30,37.89505,-122.29588,Alameda,Pipe Structural Problem/Failure, ,No,Category 3,5,5,4,0,4,VCP,80
815495,4/11/2015 16:00,38.62954444,-121.3980806,Sacramento,Root intrusion, ,No,Category 3,5,5,1,0, , , 
814559,4/11/2015 16:00,34.13046,-117.29021,San Bernardino,Root Intrusion, ,No,Category 3,759,759,759,0, , , 
814617,4/11/2015 17:00,39.208592,-121.064717,Nevada,Debris-General, ,No,Category 3,5,5,5,0, , , 
814547,4/11/2015 21:00,34.1123,-117.28025,San Bernardino,Operator Error, ,No,Category 1,0,200,0,200, , , 
814562,4/11/2015 22:30,34.10077,-117.30785,San Bernardino,Grease Deposition (FOG), ,No,Category 1,0,420,140,280, , , 
814548,4/11/2015 23:49,38.69151,-121.15346,Sacramento,Vandalism, ,No,Category 1,0,250,120,130,4,iron,25
814573,4/12/2015 0:00,37.99207,-122.09848,Contra Costa,Grease Deposition (FOG), ,No,Category 1,0,1320,1122,198,6,ACP, 
814533,4/12/2015 0:00,34.42849,-119.69148,Santa Barbara,Other (specify below),Potable water main break inundated sewer manhole.,No,Category 1,0,3000,0,3000, , , 
814520,4/12/2015 0:00,32.74314,-116.98359,San Diego,Root Intrusion, ,No,Category 3,488,488,488,0,8,vcp, 
814581,4/12/2015 5:30,37.906963,-122.537082,Marin,Grease Deposition (FOG),Paper,No,Category 3,100,100,0,0, , , 
815496,4/12/2015 9:00,38.705325,-121.2810889,Sacramento,Root intrusion, ,No,Category 3,1,1,0,0, , , 
814564,4/12/2015 10:00,38.13399,-120.45486,Calaveras,Debris from Lateral, ,No,Category 3,150,150,0,0,6,clay,30
815498,4/12/2015 11:00,38.53507222,-121.4249667,Sacramento,Root intrusion, ,No,Category 3,3,3,1,0, , , 
815497,4/12/2015 11:30,38.59691389,-121.3343333,Sacramento,Root intrusion, ,No,Category 3,2,2,0,0, , , 
840618,4/12/2015 13:03,37.95694,-121.98892,Contra Costa,Grease Deposition (FOG), ,No,Category 3,50,50,0,0,4, , 
814580,4/12/2015 13:15,34.12241,-118.15418,Los Angeles,Root Intrusion, ,No,Category 1,0,525,150,375,8, , 
815499,4/12/2015 13:30,38.62803611,-121.3927583,Sacramento,Root intrusion, ,No,Category 3,1,1,0,0, , , 
814627,4/12/2015 14:00,34.15040941,-118.7551857,Los Angeles,Other (specify below),Scales,No,Category 3,100,100,0,0, , , 
814522,4/12/2015 14:30,34.073493,-118.288311,Los Angeles,Debris-General, ,No,Category 2,1234,1234,1234,0,6,Concrete,92
815063,4/12/2015 15:00,38.31836,-122.32036,Napa,Debris-General, ,No,Category 3,20,20,20,0,4,CIPP,3
815501,4/12/2015 15:00,38.60573611,-121.4727722,Sacramento,Debris-General, ,No,Category 3,1,1,1,0, , , 
815500,4/12/2015 15:00,38.60231389,-121.2935556,Sacramento,Root intrusion, ,No,Category 3,5,5,0,0, , , 
815502,4/12/2015 17:30,38.70931111,-121.3017139,Sacramento,Root intrusion, ,No,Category 3,2,2,1,0, , , 
815331,4/12/2015 18:15,34.24969,-119.16036,Ventura,Air Relief Valve (ARV)/Blow-Off Valve (BOV) Failure, ,No,Category 3,60,60,30,0,1,copper,12
814542,4/12/2015 18:43,38.03563,-121.28125,San Joaquin,Grease Deposition (FOG), ,No,Category 3,6,6,6,0, , , 
814550,4/13/2015 7:00,38.394444,-120.806667,Amador,Root Intrusion,A large paper plug was located at the root intrusion.,No,Category 1,0,1000,600,1000,6,Vitrified Clay Pipe,80
814582,4/13/2015 8:00,37.907652,-122.537605,Marin,Debris-Rags,paper,No,Category 3,25,25,0,0, , , 
814561,4/13/2015 9:25,37.5026,-122.27197,San Mateo,Debris from Lateral, ,No,Category 3,30,30,30,0, , , 
814631,4/13/2015 9:30,38.685956,-121.790047,Yolo,Root Intrusion, ,No,Category 3,12,12,12,0,4,Clay, 
815503,4/13/2015 9:45,38.63845556,-121.36715,Sacramento,Root intrusion, ,No,Category 3,5,5,2,0, , , 
814609,4/13/2015 9:50,33.6221,-117.90683,Orange,Root Intrusion, ,No,Category 1,2000,2750,2000,750,8,vcp, 
815506,4/13/2015 10:00,38.59034722,-121.3754972,Sacramento,Root intrusion, ,No,Category 3,4,4,2,0, , , 
814551,4/13/2015 10:15,34.115394,-118.361253,Los Angeles,Root Intrusion, ,No,Category 3,102,102,102,0,8,CIP,67
814563,4/13/2015 10:50,37.96196,-121.29913,San Joaquin,Debris-General, ,No,Category 3,31,31,31,0, , , 
815504,4/13/2015 13:00,38.57279722,-121.3146056,Sacramento,Root intrusion, ,No,Category 3,14,14,14,0, , , 
814630,4/13/2015 13:00,34.01355889,-118.1373656,Los Angeles,Root Intrusion, ,No,Category 1,500,4000,500,3500, , , 
814628,4/13/2015 18:30,34.12011,-118.1538,Los Angeles,Root Intrusion, ,No,Category 1,0,450,270,180,8, , 
814774,4/14/2015 0:00,36.9677,-122.03912,Santa Cruz,Debris-General, ,No,Category 3,0,10,10,0, , , 
814629,4/14/2015 7:00,39.14674284,-121.617646,Sutter,Grease Deposition (FOG), ,No,Category 3,0,300,300,0, , , 
815507,4/14/2015 7:30,38.64274444,-121.2705611,Sacramento,Root intrusion, ,No,Category 3,4,4,2,0, , , 
814835,4/14/2015 9:00,37.90128,-122.09663,Contra Costa,Root Intrusion, ,No,Category 3,10,10,0,0, , , 
815102,4/14/2015 10:00,37.30487,-122.05806,Santa Clara,Root Intrusion, ,No,Category 3,288,288,288,0, , , 
815508,4/14/2015 10:30,38.41524444,-121.3877306,Sacramento,Root intrusion, ,No,Category 3,5,5,4,0, , , 
814758,4/14/2015 12:00,37.53201,-121.91938,Alameda,Root Intrusion, ,No,Category 1,0,3911,300,3611,8,VCP,14
815509,4/14/2015 12:00,38.69442778,-121.4544778,Sacramento,Root intrusion, ,No,Category 3,1,1,1,0, , , 
845204,4/14/2015 14:48,39.26019,-121.01931,Nevada,Root Intrusion, ,No,Category 1,0,323,0,323, , , 
814718,4/15/2015 0:00,37.429336,-122.126561,Santa Clara,Debris-General,Addt'l Spill Cause: Pipe Structural Pipe/Failure,No,Category 3,6,6,4,0, , , 
814719,4/15/2015 0:00,37.428654,-122.123248,Santa Clara,Root Intrusion, ,No,Category 3,23,23,21,0, , , 
814618,4/15/2015 0:00,36.641614,-121.829458,Monterey,Root Intrusion, ,No,Category 3,50,50,0,0,8, , 
814615,4/15/2015 0:00,33.372269,-117.258014,San Diego,Grease Deposition (FOG), ,No,Category 1,0,100,25,75,6,VCP, 
814745,4/15/2015 0:00,34.26519,-117.20831,San Bernardino,Root Intrusion, ,No,Category 3,30,30,20,0,6,ACP,40
815512,4/15/2015 7:00,38.50640556,-121.4166667,Sacramento,Root intrusion, ,No,Category 3,2,2,1,0, , , 
814593,4/15/2015 7:43,34.09706,-118.39668,Los Angeles,Other (specify below),Mass of free roots from residential lateral.,No,Category 1,0,207,0,207, , , 
814596,4/15/2015 8:03,34.145054,-118.383346,Los Angeles,Grease Deposition (FOG), ,No,Category 3,276,276,276,0,8,VCP,68
815511,4/15/2015 9:00,38.64715,-121.2644389,Sacramento,Root intrusion, ,No,Category 3,1,1,0,0, , , 
815510,4/15/2015 10:00,38.63636667,-121.3554639,Sacramento,Root intrusion, ,No,Category 3,40,40,39,0, , , 
814621,4/15/2015 10:15,37.99887,-121.3347,San Joaquin,Operator Error, ,No,Category 2,0,1010,1010,0, , , 
815513,4/15/2015 12:00,38.60605278,-121.2841139,Sacramento,Root intrusion, ,No,Category 3,5,5,2,0, , , 
815514,4/15/2015 12:20,38.67466389,-121.2337639,Sacramento,Operator error, ,No,Category 3,1,1,1,0, , , 
814614,4/15/2015 15:45,37.9543,-121.31217,San Joaquin,Pipe Structural Problem/Failure, ,No,Category 1,2302,22038,10788,11250, , , 
814676,4/16/2015 7:25,38.01424,-121.31097,San Joaquin,Debris-General, ,No,Category 3,0,29,29,0, , , 
814698,4/16/2015 8:25,34.1716,-118.2212,Los Angeles,Other (specify below),"A root tail, 4 inches in diameter was found  by the manhole downstream of  where the overflow occured.   CCTV post stoppage did not show any traces of where the root could have come from.  A plumber possibly snaked out a lateral and push the root into the main causing a stoppage.",No,Category 3,0,410,410,0,8,VCP,53
815239,4/16/2015 9:45,38.74109,-121.26389,Placer,Root Intrusion, ,No,Category 3,1,1,1,0, , , 
815064,4/16/2015 12:00,38.3195,-122.30417,Napa,Grease Deposition (FOG), ,No,Category 3,10,10,10,0,4,ACP,42
815334,4/16/2015 12:00,37.98518,-121.78637,Contra Costa,Root Intrusion, ,No,Category 3,2,2,2,0, , , 
814674,4/16/2015 17:45,38.03097,-121.32148,San Joaquin,Debris-General, ,No,Category 3,0,90,90,0, , , 
815515,4/16/2015 18:00,38.60988056,-121.2897889,Sacramento,Debris-General, ,No,Category 3,12,12,9,0, , , 
814632,4/16/2015 23:42,37.94817,-122.36429,Contra Costa,Grease Deposition (FOG), ,No,Category 3,20,20,20,0, , , 
814639,4/17/2015 0:00,32.801111,-117.001111,San Diego,Vandalism,The cause of the overflow was due to a sprinkler head connected to a section of irrigation pipe which became wedged entering the city's mainline through a private lateral. The obstruction facilitate the collection of grease and debris which lead to the overflow.,No,Category 1,0,1450,100,1350,8,CIPP Lining, 
814640,4/17/2015 6:50,38.693333,-121.149722,Sacramento,Vandalism, ,No,Category 3,200,200,175,0, , , 
815519,4/17/2015 7:00,38.65795278,-121.3236611,Sacramento,Root intrusion, ,No,Category 3,8,8,5,0, , , 
814664,4/17/2015 7:00,34.06721,-118.16161,Los Angeles,Root Intrusion, ,No,Category 3,221,221,0,0,8,VCP,60
814650,4/17/2015 9:53,33.756283,-118.291659,Los Angeles,Debris-General, ,No,Category 3,139,139,0,0,8,VCP,60
814785,4/17/2015 12:20,34.021464,-118.335045,Los Angeles,Construction Diversion Failure, ,No,Category 3,100,100,100,0,15,VCP,86
815333,4/17/2015 12:30,37.99194,-121.79766,Contra Costa,Root Intrusion, ,No,Category 3,3,3,3,0,4, , 
814679,4/17/2015 17:13,37.643685,-120.765648,Stanislaus,Grease Deposition (FOG), ,No,Category 3,0,45,45,0, , , 
817006,4/18/2015 0:00,37.978092,-122.577306,Marin,Other (specify below),After Construction the Lateral was not reinstated.,No,Category 3,467,467,0,0, , , 
814784,4/18/2015 8:30,39.19319,-120.11087,Placer,Root Intrusion, ,No,Category 3,30,30,20,0,4,Clay,45
814655,4/18/2015 9:15,34.134561,-118.23584,Los Angeles,Root Intrusion, ,No,Category 3,86,86,0,0,8,VCP,86
814693,4/18/2015 9:31,37.39372,-122.09269,Santa Clara,Root Intrusion,Roots had grown into manhole causing blockage.,No,Category 3,40,40,40,0,6,PVC,10
814846,4/18/2015 11:50,38.011944,-121.897222,Contra Costa,Grease Deposition (FOG), ,No,Category 3,55,55,55,0,6,VCP, 
815516,4/18/2015 14:15,38.647425,-121.2693472,Sacramento,Root intrusion, ,No,Category 3,5,5,1,0, , , 
815517,4/18/2015 21:00,38.68222222,-121.2820889,Sacramento,Grease deposition (FOG), ,No,Category 3,21,23,18,0, , , 
814720,4/19/2015 0:00,37.424108,-122.132751,Santa Clara,Debris-General,Addt'l Cause: Pipe Structural Problem/Failure,No,Category 3,29,51,34,0, , , 
814680,4/19/2015 9:55,38.39828,-122.83479,Sonoma,Debris from Construction, ,No,Category 3,330,330,0,0, , , 
814733,4/19/2015 11:00,39.211192,-121.060167,Nevada,Root Intrusion, ,No,Category 3,0,300,300,0,4, , 
814675,4/19/2015 12:21,34.298722,-118.496168,Los Angeles,Root Intrusion, ,No,Category 3,9,9,9,0,8,VCP,58
815065,4/19/2015 14:00,38.31135,-122.27507,Napa,Root Intrusion, ,No,Category 3,10,10,2,0,4,Plastic,35
816351,4/19/2015 14:30,37.58221,-122.37228,San Mateo,Root Intrusion, ,No,Category 3,10,10,10,0, , , 
815518,4/19/2015 14:30,38.45653056,-121.3210417,Sacramento,Debris from Lateral, ,No,Category 3,10,12,9,0, , , 
814711,4/19/2015 16:30,37.563105,-122.351906,San Mateo,Root Intrusion, ,No,Category 1,0,1650,0,1650,6,VCP,76
814694,4/20/2015 0:00,32.585108,-117.121094,San Diego,Construction Diversion Failure, ,No,Category 3,0,10,10,0, , , 
814750,4/20/2015 3:50,37.68585,-122.4066,San Mateo,Debris from Lateral, ,No,Category 3,1,1,0,0, , , 
814673,4/20/2015 8:47,34.048063,-118.274788,Los Angeles,Debris-General, ,No,Category 3,253,253,253,0,8,VCP,120
814768,4/20/2015 12:00,37.92946,-121.70069,Contra Costa,Grease Deposition (FOG),piping offset in lower lateral allowed light roots and grease to build up and cause blockage,No,Category 3,5,200,195,0, , , 
815520,4/20/2015 12:00,38.63363056,-121.3320417,Sacramento,Root intrusion, ,No,Category 3,6,101,97,0, , , 
815020,4/21/2015 0:00,38.05093,-122.22352,Contra Costa,Pipe Structural Problem/Failure, ,No,Category 1,1656,2020,0,364,5,VCP,95
814713,4/21/2015 0:00,32.576032,-117.104028,San Diego,Grease Deposition (FOG),A grease blockage involving manhole 386 and 387 pertaining to the City of San Diego caused the sewer overflow in Manhole 537 located within the City of Imperial Beach jurisdiction.,No,Category 2,0,2400,2400,0, , , 
814731,4/21/2015 0:00,32.62948,-117.04089,San Diego,Debris from Lateral, ,No,Category 3,50,50,50,0,4,plastic,40
815337,4/21/2015 6:00,37.98491,-121.81701,Contra Costa,Pipe Structural Problem/Failure, ,No,Category 3,5,11,11,0,4, , 
814737,4/21/2015 7:00,37.20969,-121.85375,Santa Clara,Grease Deposition (FOG), ,No,Category 1,100,450,100,350, , , 
840625,4/21/2015 10:35,37.96932,-122.00595,Contra Costa,Root Intrusion, ,No,Category 3,10,10,5,0,6, , 
815522,4/21/2015 11:00,38.57037778,-121.3241083,Sacramento,Debris-General, ,No,Category 3,6,6,3,0, , , 
815524,4/21/2015 12:00,38.60203611,-121.3964056,Sacramento,Root intrusion, ,No,Category 3,8,8,5,0, , , 
815527,4/21/2015 12:00,38.66188611,-121.197,Sacramento,Root intrusion, ,No,Category 3,10,10,2,0, , , 
815521,4/21/2015 12:15,38.68744444,-121.3772944,Sacramento,Operator error, ,No,Category 3,5,5,5,0, , , 
815523,4/21/2015 14:00,38.40383611,-121.3684944,Sacramento,Root intrusion, ,No,Category 3,8,8,8,0, , , 
814723,4/21/2015 18:40,38.698631,-120.995456,El Dorado,Root Intrusion, ,No,Category 3,0,2,2,0, , , 
814730,4/21/2015 21:18,33.79697,-118.18469,Los Angeles,Grease Deposition (FOG), ,No,Category 3,2,2,2,0,8,VCP,96
814842,4/21/2015 21:45,38.026607,-121.335505,San Joaquin,Debris-General, ,No,Category 3,50,50,40,0,8,clay, 
815525,4/22/2015 8:45,38.67742222,-122.1302778,Sacramento,Root intrusion, ,No,Category 3,5,5,0,0, , , 
815110,4/22/2015 9:00,37.26133,-122.05292,Santa Clara,Root Intrusion, ,No,Category 3,74,74,74,0, , , 
815113,4/22/2015 9:20,37.28682,-122.04774,Santa Clara,Debris-General, ,No,Category 3,99,99,80,0, , , 
815526,4/22/2015 9:30,38.64125278,-121.2893167,Sacramento,Root intrusion, ,No,Category 3,1,1,0,0, , , 
815528,4/22/2015 12:00,38.61723056,-121.3281972,Sacramento,Grease deposition (FOG), ,No,Category 3,30,30,25,0, , , 
814767,4/22/2015 13:30,37.37675,-121.93609,Santa Clara,Debris-Rags, ,No,Category 1,57300,63750,63750,6450,10,DIP, 
815529,4/22/2015 14:00,38.57483056,-121.4057639,Sacramento,Root intrusion, ,No,Category 3,4,4,4,0, , , 
815543,4/22/2015 15:00,38.49025278,-121.4515611,Sacramento,Root intrusion, ,No,Category 3,15,15,12,0, , , 
815321,4/22/2015 17:00,37.529167,-122.354722,San Mateo,Other (specify below),"Tampons, paper towels, roots",No,Category 3,235,235,0,0, , , 
814794,4/22/2015 17:20,37.65073,-120.99167,Stanislaus,Root Intrusion, ,No,Category 3,0,1,1,0,6,vcp, 
815080,4/23/2015 0:00,37.444633,-122.158901,Santa Clara,Debris-Rags, ,No,Category 3,84,84,83,0, , , 
815079,4/23/2015 0:00,37.429152,-122.143185,Santa Clara,Root Intrusion,Addt'l Cause: Pipe Structural Problem/Failure,No,Category 3,126,126,124,0, , , 
815338,4/23/2015 8:30,38.01458,-121.81147,Contra Costa,Root Intrusion, ,No,Category 3,2,2,2,0,4, , 
